# key,value...
stage,1
moves,23
origin,550,225
tile,83.333

# object,type,col,row
object,floor,4,0
object,floor,5,0
object,floor,1,1
object,floor,2,1
object,floor,3,1
object,floor,4,1
object,floor,5,1
object,floor,1,2
object,floor,2,2
object,floor,3,2
object,floor,4,2
object,floor,0,3
object,floor,1,3
object,floor,0,4
object,floor,1,4
object,floor,2,4
object,floor,3,4
object,floor,4,4
object,floor,5,4
object,floor,0,5
object,floor,1,5
object,floor,2,5
object,floor,3,5
object,floor,4,5
object,floor,5,5
object,floor,6,5

object,player,5,0
object,target,6,5
object,enemy,3,1
object,enemy,2,2
object,enemy,4,2
object,stone,1,4,2
object,stone,1,5,3
object,stone,3,5,4
object,stone,4,4,2

# Decorative fire bowls. Torch objects do not participate in collision.
object,torch,0,0,lower
object,torch,3,-1,empty_stage1
object,torch,-1,3,empty_stage1
object,torch,6,3
